(Кобылинский Л.Л.) Эллис
(Шполянский А.П.) Дон-Аминадо
dubium
А.К. Толстой
Малахов С.А.
Мамченко В.А.
Мандельштам О.Э.
Мандельштам Ю.В.
Мариенгоф А.Б.
Марин С.Н.
Марков В.Ф.
Марков С.Н.
Март В. (Матвеев В.Н.)
Мартынов И.И.
Мартынов Л.Н.
Марьянова М.М.
Масальский К.П.
Маширов (Самобытник) А.И.
Маяковский В.В.
Межиров А.П.
Мей Л. А.
Мей Л.А.
Мережковский Д.С.
Мерзляков А.Ф.
Меркурьева В.А.
Мещевский А.И.
Миллер Ф.Б.
Милонов М.В.
Милонов М.В. | Политковский П.С.
Милькеев Е.Л.
Минаев Д.Д.
Минский М.Н.
Миропольский А.Л.
Михайлов М.Л.
Михайловский Д.Л.
Модестов Ф.
Можайский И.П.
Мозольков Е.С.
Молчанов И.Н.
Монина В.А.
Моравская М.Л.
Моршен Н.Н.
Москотильников С.А.
Муравьев А.Н.
Муравьев М.Н.
Муравьев Н.С.
Мятлев И.П.
Набоков В.В.
Навроцкий А.А.
Надсон С.Я.
Надсон С.Я., Российский М.А.
Назаров Е.И.
Нарбут В.И.
Нартов А.А.
Нарышкин А.В.
Нарышкин С.В.
Наседкин В.Ф.
Нахимов А. Н.
Незнамов П.В.
Неизвестный
Неймирок А.Н.
Некрасов Н.А.
Некрасов Н.А. | dubium
Некрасов Н.А. | соавторы
Нелединский-Мелецкий Ю.А.
Несмелов Б.Н.
Нечаев Е.Е.
Нечаев С.Д.
Никитин И.С.
Николев (Егунов) А.Н.
Николев Н.П.
Никулин Л.В.
Новосадов Б.Х.
Норов А.С.
Ободовский П.Г.
Оболдуев Г.Н.
Обрадович С.А.
Огарев Н.П.
Одарченко Ю.П.
Одоевский А.И.
Одоевцева И.В.
Озеров В.А.
Ознобишин Д.П.
Оксенов И.А.
Олейников Н.М.
Олешев М.
Олимпов (Фофанов) К.К.
Олин В.Н.
Оредеж И. (Лукаш И.С.)
Орешин П.В.
Орлов Я.В.
Остолопов Н.Ф.
Остроумова Т.И.
Павлова К. К.
Павлова К.К.
Палицын А.А.
Пальм А.И.
Пальмин Л.И.
Панаев В.И.
Панаев И.И.
Панфилов Е.А.
Парнок С.Я.
Пастернак Б.Л.
Пастухов В.Л.
Пельский П.А.
Перелешин Б.Н.
Пестов С.С.
Петников Г.Н.
Петров (Скиталец) С.Г.
Петров В.П.
Петровский Д.В.
Печерин В.С.
Пиотровский А.И.
Писарев А.А.
Платонов А.П.
Плетнев П.А.
Плещеев А.Н.
Пнин И.П.
Пнин С.
Подгоричани Н.М.
Подолинский А.И.
Пожарова М.
Позняков Н.С.
Полежаев А. И.
Полетаев Н.Г.
Политковский Н.Р.
Политковский П.С.
Полонская Е.Г.
Полонский Я.П.
Поляков В.Л.
Поморский А.Н.
Поплавский Б.Ю.
Попов М.И.
Поповский Н.Н.
Попугаев В.В.
Потемкин П.П.
Праскунин М.
Прегель С.Ю.
Преловский В.И.
Привалов И.Е.
Присманова А.С.
Пришелец А.
Проскунин М.
Протопопов А.
Пруссак В.В.
Прутков И.К. (Жиркович Б.В.)
Пустынин М. (Розенблат М.Я.)
Пушкарев Н.Л.
Пушкин А. С.
Пушкин А.С.
Пушкин А.С.| dubium
Пушкин А.С.| Вяземский П.А.
Пушкин А.С.| Жуковский В.А.
Пушкин В. Л.
Пушкин В.Л.
Пяст В.А.
Радимов П.А.
Радин Л.П.
Радищев А.Н.
Радищев Н.А.
Радлова А.Д.
Раевский (Оцуп) Г.А.
Разоренов А.Е.
Раич С.Е.
Ракитников А.Н.
Ратгауз Д.М.
Резников Д.Г.
Рейснер Л.М.
Рерих Н.К.
Ржевский А.А.
Родзянка А.Г.
Родзянко С.Е.
Родионов И.Д.
Родов С.А.
Рождественский В.А.
Розанова О.В.
Розен Е.Ф.
Розенгейм М.П.
Рок Р.Ю.
Рославлев А.С.
Рославлева Н.
Ростопчина Е. П.
Ротчев А.Г.
Рубан В.Г.
Рубисова Е.
Рукавишников И.С.
Рылеев К. Ф.
Рылеев К.Ф.
Савин И.А.
Садовской Б. А.
Садовской Б.А.
Садофьев И.И.
Самойлов Д.
Санников Г.
Сатин Н.М.
Сафонов С.А.
Саянов В.М.
Светлов М.А.
Северянин И.
Сельвинский И.Л.
Семенов Л.Д.
Семеновский Д.Н.
Сергеев А.Я.
Серебрянский М.И.
Сидоров Г.А.
Сидоров Ю.А.
Силлов В.А.
Симонов К.М.
Скалдин А.Д.
Скрябина Ариадна
Славнин И.К.
Словцов П.А.
Слуцкий Б.А.
Случевский К.К.
Смеляков Я.В.
Смирнов Н.С.
Смоленский В.А.
Сниткин А.П.
Собакин М.Г. | dubium
Соболевский А.И. | dubium
Соболевский С. А.
Соколов (Кречетов) С.А.
Соколов А.
Соколов И.В.
Соколовский В.И.
Соловьев Б.
Соловьев В.С.
Соловьев В.С. | dubium
Соловьев С.М.
Соловьева П.C. (Allegro)
Сологуб Ф.К.
Сомов О.М.
Сомов О.М. 
Софиев Ю.Б.
Спасский С.Д.
Ставров П.С.
Стародубский В.В.
Стахович М.А.
Столица Л.Н.
Стражев В.И.
Страховский Л.И.
Струве Г.П.
Струве М.А.
Струйский (Трилунный) Д.Ю.
Струйский Н.Е.
Сумароков А.П.
Сумароков П.П.
Суриков И.З.
Сухотин П.С.
Сырейщикова Е.А.
Тарасов Е.М.
Тарковский А.А.
Тарусин И.Е.
Таубер Е.Л.
Твардовский А.Т.
Теплова Н.С.
Тепляков В.Г.
Терапиано Ю.К.
Терентьев И.Г.
Тимашева Т.Н.
Тимофеев А.В.
Тиняков А.И.
Тисленко Я.М.
Титов Е.И.
Тихонов Н.С.
Толстой А.К.
Толстой А.Н.
Тредиаковский В.К.
Тредиаковский В.К. | dubium
Третьяков С.М.
Трефолев Л.Н.
Трубецкой Ю.П.
Туманный Д.
Туманский В.И.
Туманский Ф.А.
Тургенев А.И.
Тургенев И. С.
Тургенев И.С.
Туроверов Н.Н.
Туфанов А.
Туфанов А.В.
Тучков С.А.
Тэффи (Лохвицкая Н.А.)
Тютчев Ф. И.
Тютчев Ф.И.
Тютчева А. Ф.
Урусова Е.С.
Уткин И.П.
Ушаков Н.Н.
Фалеев Н.И.
Федоров А.М.
Федоров Б.М.
Федорченко С.З.
Федотов П.А.
Феррари Е. (Голубовская О.Ф.)
Фет А.А.
Филимонов В.С.
Филипченко И.Г.
Фиолетов А.В. (Шор Н.Б.)
Флоренский П.А.
Фонвизин Д. И.
Фонвизин Д.И. | dubium 
Фонвизин П.И.
Фофанов К.М.
Фруг С.Г.
Хабиас Н.П.
Халафов К.К.
Хармс Д.
Хвостов А.С.
Хвостов Д. И.
Хвостов Д.И.
Хвощинская Н.Д.
Хемницер И.И.
Херасков М.М.
Хераскова Е.В.
Хлебников В.В.
Хованский Г.А.
Ходасевич В.Ф.
Холин И.С.
Хомяков А.С.
Цветаева М.И.
Цертелев Д.Н.
Цетлин М.О. (Амари)
