"","City","lon","lat"
"319","намюр",4.866667,50.466667
"320","сильви",14.116667,42.55
"321","вознесенск",31.311944,47.5725
"322","новоржев",29.333333,57.033333
"323","красноярск",93.06,56.02
"324","новороссийск",37.766667,44.716667
"325","волоколамск",35.95,56.033333
"326","гдов",27.816667,58.733333
"327","калининград",20.5,54.716667
"328","мары",61.833333,37.6
"329","черемшан",51.505833,54.65
"330","богота",-74.080833,4.598889
"331","ганновер",9.738611,52.374444
"332","мангейм",8.463056,49.483611
"333","крупки",29.136111,54.325
"334","яхрома",37.483333,56.283333
"335","аткарск",45,51.866667
"336","оснабрюк",8.043056,52.278889
"337","велиж",31.2,55.6
"338","гонолулу",-157.826111,21.308889
"339","болхов",36,53.45
"340","пепин",-7.9525,40.8925
"341","мельбурн",144.961389,-37.820556
"342","эдинбург",-3.198889,55.95
"343","коканд",70.9425,40.528611
"344","лозанна",6.633333,46.533333
"345","кобленц",7.597778,50.359722
"346","иваново",40.983333,57
"347","тума",40.552778,55.146944
"348","грац",15.433333,47.066667
"349","изборск",27.858333,57.708333
"350","амьен",2.3,49.9
"351","гулистан",68.783333,40.483333
"352","брайтон",-0.133889,50.824167
"353","гальс",7.05,47.033333
"354","нахичевань",45.412222,39.208889
"355","ковель",24.716667,51.216667
"356","барнаул",83.776944,53.346944
"357","дюссельдорф",6.816667,51.216667
"358","хараре",31.029722,-17.863889
"359","римини",12.566667,44.05
"360","гастингс",0.57,50.85
"361","манчестер",-2.233333,53.466667
"362","ханой",105.816667,21.1
"363","ливны",37.608306,52.425306
"364","опошня",34.612004,49.956353
"365","валенсия",-0.375,39.466667
"366","токсово",30.525,60.155556
"367","вырица",30.347222,59.411111
"368","белосток",23.166667,53.116667
"369","суджа",35.270833,51.190694
"370","висбаден",8.241377,50.082054
"371","ростов-на-дону",39.710556,47.240556
"372","любеч",30.661678,51.705172
"373","емен",25.35,43.133333
"374","крымск",38,44.933333
"375","сеул",127,37.583333
"376","гренобль",5.726944,45.187778
"377","краснодар",38.983333,45.033333
"378","горловка",38.0925,48.333611
"379","печоры",27.6,57.816667
"380","загреб",15.95,45.8
"381","кандагар",65.705278,31.607778
"382","рыбница",29.001111,47.766389
"383","чугуев",36.675556,49.835278
"384","киото",135.75,35.016667
"385","выборг",28.744167,60.709167
"386","ейск",38.277778,46.710556
"387","бриндизи",17.933333,40.633333
"388","саламанка",-5.67,40.97
"389","бристоль",-2.583333,51.45
"390","павлоград",35.87,48.52
"391","авила",-4.683333,40.65
"392","кембридж",0.1225,52.208056
"393","эльва",7.083333,44.533333
"394","опочка",28.65,56.716667
"395","грюнвальд",20.091944,53.485833
"396","страсбург",7.748611,48.584444
"397","лубны",32.98686,50.018564
"398","щигры",36.903056,51.881111
"399","остенде",2.933333,51.233333
"400","кабул",69.165833,34.532778
"401","нежин",31.9,51.05
"402","подольск",37.544444,55.429722
"403","себеж",28.483333,56.283333
"404","гродно",23.816667,53.666667
"405","сарагоса",-0.9,41.65
"406","массандра",34.186111,44.5125
"407","сухум",41.015278,43.003333
"408","дели",77.216667,28.666667
"409","гейдельберг",8.71,49.412222
"410","касимов",41.397222,54.95
"411","поти",41.666667,42.15
"412","ольденбург",8.213889,53.143889
"413","бейрут",35.513056,33.886944
"414","арль",4.627778,43.676667
"415","шепетовка",27.066667,50.183333
"416","катманду",85.366667,27.716667
"417","червень",28.432222,53.707778
"418","новгород-северский",33.266667,51.983333
"419","софийка",30.688611,49.403056
"420","казвин",50,36.266667
"421","сигнахи",45.916667,41.616667
"422","ботлих",46.22,42.665
"423","гвадалахара",-103.351944,20.666111
"424","мукачево",22.713611,48.441389
"425","сухиничи",35.35,54.1
"426","канди",80.638453,7.296961
"427","инта",60.131519,66.039814
"428","грайворон",35.666667,50.483333
"429","балаково",47.8,52
"430","казатин",28.833333,49.716667
"431","ковина",-117.879167,34.091667
"432","бильбао",-2.923611,43.256944
"433","дармштадт",8.65,49.866667
"434","пинск",26.083333,52.116667
"435","хвалынск",48.1,52.483333
"436","чиатура",43.266667,42.283333
"437","теребовля",25.7,49.3
"438","аскат",85.898051,51.537153
